격자_ID,따릉이_대여소_개수,지하철역_개수,버스정류장_개수,평균_거치율
4618,2,1,8,34.29802955665025
4761,1,1,5,58.01282051282051
4793,3,1,1,90.34722222222224
4900,2,1,2,110.83333333333334
4909,1,1,3,11.666666666666668
4951,1,1,2,14.166666666666666
4992,1,1,2,20.55555555555556
5031,1,2,12,151.66666666666669
5086,1,1,1,177.5
5109,3,1,6,353.587962962963
5111,1,1,4,3.333333333333333
5281,4,1,2,194.58333333333331
5283,1,1,3,2.7777777777777777
5384,1,1,4,25.83333333333333
5435,1,1,5,96.66666666666669
5453,2,1,7,27.083333333333336
5504,1,1,6,47.91666666666666
5678,3,1,4,145.19841269841268
5685,2,1,5,196.4583333333333
5717,1,1,6,149.47916666666666
5783,2,1,6,87.31684981684982
5870,2,2,4,37.37878787878788
5967,2,1,3,124.33333333333331
6057,2,1,3,50.41666666666666
6124,1,1,3,34.523809523809526
6125,2,1,2,80.38194444444446
6224,1,1,4,5.0
6298,1,1,6,43.33333333333333
6466,2,1,2,104.72222222222224
6512,1,1,1,187.5
6527,2,1,1,72.08333333333333
6532,3,1,4,87.77777777777777
6557,2,1,3,70.83333333333333
6560,1,1,5,34.16666666666667
6577,1,1,6,96.66666666666666
6670,3,1,3,53.26071169208424
6763,1,1,2,40.833333333333336
6765,1,1,1,100.0
6809,1,1,3,99.30555555555554
6869,2,1,6,36.92307692307692
6923,1,1,2,157.63888888888889
6979,1,1,4,12.962962962962962
6990,1,2,13,57.5
7062,2,1,6,41.04166666666667
7113,1,1,6,169.44444444444446
7176,4,2,4,0.0
7178,1,1,2,130.83333333333334
7228,4,1,1,70.46474358974359
7273,1,1,4,0.0
7275,1,1,3,10.185185185185183
7283,1,1,4,37.71929824561404
7304,3,1,2,52.96296296296296
7374,3,1,1,93.37962962962962
7466,1,2,5,209.16666666666663
7471,2,1,4,12.708333333333334
7534,3,1,2,75.18518518518518
7605,1,1,1,41.66666666666667
7630,1,1,2,113.33333333333331
7656,2,1,6,130.0
7662,3,1,2,61.63995726495727
7733,1,1,5,137.5
7735,1,1,7,50.0
7747,1,2,1,171.875
7786,1,1,2,80.0
7798,1,1,3,25.416666666666664
7877,2,1,3,186.3888888888889
7913,2,1,6,60.20833333333334
7917,1,1,2,30.83333333333333
7961,1,1,2,33.33333333333333
8043,1,1,1,30.83333333333333
8116,1,1,3,45.45454545454545
8183,2,1,2,110.04166666666669
8191,1,3,12,97.82608695652176
8339,2,2,5,15.97222222222222
8349,1,1,3,0.0
8491,1,1,1,68.58974358974359
8502,1,2,4,0.0
8528,1,1,4,0.0
8540,2,1,3,35.0
8552,1,1,9,68.33333333333334
8555,2,1,3,66.75925925925927
8564,1,1,2,112.5
8569,1,1,6,58.33333333333334
8661,1,2,2,78.8888888888889
8672,2,1,4,69.23076923076923
8809,1,1,7,0.0
8822,1,2,3,7.222222222222222
8824,1,2,3,27.916666666666668
8839,1,1,2,37.5
8855,1,2,5,21.212121212121207
8867,1,1,6,100.0
8874,1,1,3,33.333333333333336
8884,2,2,6,142.82051282051282
8972,1,1,2,117.5
8989,1,1,2,92.64705882352942
9003,1,1,7,75.0
9008,1,2,2,113.8888888888889
9016,2,1,4,81.25
9021,1,1,5,103.8888888888889
9026,2,1,4,20.9375
9047,3,1,4,42.65873015873016
9102,1,1,6,14.166666666666664
9111,1,1,2,30.0
9114,2,2,6,162.91666666666666
9120,2,2,3,55.625
9128,1,1,2,73.88888888888889
9134,1,1,4,96.11111111111111
9199,1,1,3,25.0
9282,3,2,4,48.958333333333336
9317,2,1,3,41.25
9328,3,1,2,88.33333333333333
9331,1,1,2,103.47222222222224
9339,1,1,2,80.0
9432,1,1,1,10.666666666666668
9468,1,1,4,39.16666666666667
9489,3,1,3,64.77920227920228
9494,1,1,1,151.66666666666666
9682,1,2,1,120.0
9740,1,1,9,191.66666666666663
9804,1,2,3,136.11111111111111
9816,2,1,4,35.0
9874,1,2,2,141.66666666666666
9876,1,1,1,152.5
9927,1,1,3,40.0
9952,1,1,2,0.0
10009,2,1,4,85.625
10064,1,1,3,90.83333333333334
10071,1,1,5,21.71717171717172
10082,3,1,1,11.924424424424425
10084,3,1,1,15.876068376068377
