격자_ID,평균_거치율,따릉이_대여소_개수,버스정류장_개수,지하철역_개수,설치대수_합계
9003,79.93731847348869,1,7,1,40.0
9008,159.54424181019925,1,2,2,48.0
9016,58.042788894517614,2,4,1,112.0
9021,128.8804232804233,1,5,1,60.0
9026,57.880260047281325,2,4,1,72.0
9047,59.357290812306005,3,4,1,108.0
9102,24.54545761567038,1,6,1,80.0
9111,35.98297872340426,1,2,1,40.0
9114,92.38645727794665,2,6,2,80.0
9120,91.48842451874366,2,3,2,72.0
9128,193.21463469548576,1,2,1,60.0
9134,80.4177642688281,1,4,1,60.0
9199,37.23735224586288,1,3,1,40.0
9282,56.83069783731722,3,4,2,344.0
9317,54.6265704154002,2,3,1,100.0
9328,44.980228151150136,3,2,1,172.0
9331,47.42792412473264,1,2,1,48.0
9339,72.20685579196218,1,2,1,40.0
9432,25.544721377912868,1,1,1,100.0
9468,53.70523471800068,1,4,1,80.0
9489,80.39686311412079,3,3,1,180.0
9494,97.85113137453564,1,1,1,40.0
9682,61.4565011820331,1,1,2,40.0
9740,170.7114488348531,1,9,1,20.0
9804,30.275864009906563,1,3,2,48.0
9816,46.17708544410672,2,4,1,60.0
9874,71.83962343802769,1,2,2,32.0
9876,67.19861533265788,1,1,1,40.0
9927,65.35233592254869,1,3,1,60.0
9952,42.06518068220196,1,2,1,40.0
10009,52.1080378250591,2,4,1,120.0
10064,31.820770010131717,1,3,1,40.0
10071,16.27187784634593,1,5,1,132.0
10082,17.953948781608354,3,1,1,308.0
10084,37.13656119294417,3,1,1,172.0
